id,timestamp,target,mode,steps,passes,colors,opacity,drive_teeth,x_arm_gears,y_arm_gears,table_teeth,speed,line_width,width,height,background,notes,svg_file,png_file
20,2026-03-27T20:11:41.166Z,,linear,10000,1,#333,0.5,20,60T/R250/φ0.00,20T/R250/φ1.57,11500,0.015,0.4,1200,1200,#f0f0ec,"Lissajous 1:3, single gears, table 11500, 10k steps, single pass to see shape",exp-0020.svg,exp-0020.png
21,2026-03-27T20:13:40.167Z,,linear,35000,1,#333,0.5,20,20T/R400/φ0.00,20T/R250/φ1.57,5000,0.015,0.4,1200,1200,#f0f0ec,"ellipse Rx400 Ry250 same speed, table 5000, single pass, 35k steps",exp-0021.svg,exp-0021.png
22,2026-03-27T20:15:10.789Z,,linear,21000,3,#d64078;#3fa8c8;#d07030,0.5,20,20T/R200/φ0.00 → 10T/R150/φ0.00,20T/R200/φ1.57 → 10T/R150/φ1.57,11500,0.015,0.6,1200,1200,#f0f0ec,"cardioid R200+R150, 3 passes, 21k steps ~50 revolutions, lineWidth 0.6",exp-0022.svg,exp-0022.png
23,2026-03-27T20:16:35.454Z,,linear,50000,3,#d64078;#3fa8c8;#d07030,0.5,20,20T/R200/φ0.00 → 10T/R150/φ0.00,20T/R200/φ1.57 → 10T/R150/φ1.57,8000,0.015,0.6,1200,1200,#f0f0ec,"50k steps, table 8000 ~107deg, denser fill with visible lines",exp-0023.svg,exp-0023.png
24,2026-03-27T20:27:41.559Z,,linear,50000,3,#d64078;#3fa8c8;#d07030,0.5,20,20T/R200/φ0.00 → 10T/R150/φ0.00,20T/R200/φ1.57 → 10T/R150/φ1.57,8000,0.015,0.6,1200,1200,#f0f0ec,gallery test render,exp-0024.svg,exp-0024.png
25,2026-03-27T21:01:23.862Z,IMG_3504.webp,linear,5000,1,#dde8f0,0.5,20,60T/R300/φ0.00,20T/R300/φ1.57,0,0.015,0.5,1200,1200,#1c1c1e,"trefoil knot target - baseline 1:3 Lissajous, dark bg, single white pass",exp-0025.svg,exp-0025.png
26,2026-03-27T21:23:05.127Z,IMG_3504.webp,linear,5000,1,#dde8f0,0.5,20,epicyclic: ω-1/R150/φ1.57 → ω2/R300/φ-1.57,—,0,0.015,0.5,1200,1200,#1c1c1e,"epicyclic trefoil outline: 2 orbits (CW ω=-1 R150, CCW ω=2 R300), no table, 5k steps",exp-0026.svg,exp-0026.png
27,2026-03-27T21:23:40.165Z,IMG_3504.webp,linear,50000,1,#dde8f0,0.5,20,epicyclic: ω-1/R150/φ1.57 → ω2/R300/φ-1.57,—,5000,0.015,0.5,1200,1200,#1c1c1e,"trefoil + table 5000T, 50k steps — mesh fill attempt",exp-0027.svg,exp-0027.png
28,2026-03-27T21:25:01.506Z,IMG_3504.webp,linear,100000,1,#dde8f0,0.5,20,epicyclic: ω-1/R150/φ1.57 → ω2/R300/φ-1.57,—,30000,0.015,0.5,1200,1200,#1c1c1e,"trefoil + table 30000T, 100k steps — less rotation to preserve lobes",exp-0028.svg,exp-0028.png
29,2026-03-27T21:26:25.321Z,IMG_3504.webp,linear,200000,1,#dde8f0,0.5,20,epicyclic: ω-1/R150/φ1.57 → ω2/R300/φ-1.57,—,15000,0.015,0.3,1200,1200,#1c1c1e,"trefoil 15000T 200k steps, lw0.3, opacity0.7 — wider tubes + denser mesh",exp-0029.svg,exp-0029.png
30,2026-03-27T21:57:03.879Z,gandy-1.jpg,epicyclic,5000,1,#2196f3,0.6,20,epicyclic: ω1/R280/φ0.00 → ω-9/R200/φ0.00,—,0,0.015,0.5,1200,1200,#faf9f6,"10-lobe mandala: shape exploration, ω=1/−9, R=280/200, no table, 5k steps",exp-0030.svg,exp-0030.png
31,2026-03-27T21:59:24.652Z,gandy-1.jpg,epicyclic,5000,10,#00bcd4;#2196f3;#6a1fb0;#9c27b0;#e91e63;#ff5722;#ff9800;#4caf50;#009688;#8bc34a,0.5,20,epicyclic: ω0/R280/φ0.00 → ω1/R230/φ0.00,—,0,0.015,0.5,1200,1200,#faf9f6,"10-lobe: displaced circle approach, R280+R230, 10 passes@36°, no table",exp-0031.svg,exp-0031.png
32,2026-03-27T22:01:04.319Z,gandy-1.jpg,epicyclic,50000,10,#00bcd4;#2196f3;#6a1fb0;#9c27b0;#e91e63;#ff5722;#ff9800;#4caf50;#009688;#8bc34a,0.5,20,epicyclic: ω0/R280/φ0.00 → ω1/R230/φ0.00,—,8000,0.015,0.4,1200,1200,#faf9f6,"10-lobe: table 8000T, 50k steps, mesh fill attempt",exp-0032.svg,exp-0032.png
33,2026-03-27T22:03:40.488Z,gandy-1.jpg,epicyclic,50000,10,#00bcd4;#2196f3;#6a1fb0;#9c27b0;#e91e63;#ff5722;#ff9800;#4caf50;#009688;#8bc34a,0.5,20,epicyclic: ω1/R280/φ0.00 → ω-9/R200/φ0.00,—,30000,0.015,0.4,1200,1200,#faf9f6,"10-lobe: ω=1/−9 R280/200, table 30000T, 50k steps, 10 passes@3.6° offset",exp-0033.svg,exp-0033.png
34,2026-03-27T22:06:27.518Z,gandy-1.jpg,epicyclic,50000,8,#00bcd4;#2196f3;#6a1fb0;#9c27b0;#e91e63;#ff5722;#ff9800;#4caf50,0.3,20,epicyclic: ω1/R280/φ0.00 → ω-9/R200/φ0.00,—,30000,0.015,0.4,1200,1200,#faf9f6,"10-lobe: 8 passes@45°, opacity 0.3, table 30000T — color separation via symmetry mismatch",exp-0034.svg,exp-0034.png
35,2026-03-27T22:09:44.724Z,gandy-1.jpg,epicyclic,30000,8,#00bcd4;#2196f3;#7b1fa2;#c2185b;#e91e63;#ff5722;#ff9800;#4caf50,0.4,20,epicyclic: ω1/R300/φ0.00 → ω11/R180/φ0.00,—,50000,0.015,0.5,1200,1200,#faf9f6,"10-lobe: same-sign ω=1/11, R300/180, table 50000T, 30k steps, 8 passes@45°",exp-0035.svg,exp-0035.png
